parent_smiles,pH_r,temp_C_r,pH_over_TK_r,group_source_key,source_block,source_blocks_joined,n_source_blocks,all_conditions_missing,logK,rep_n,rep_std,smiles_rdkit,compound_name,pH,temp_C,pH_over_TK,src_A_raw_k_with_smiles,src_B_logk_name_only,src_C_logk_with_pH_T,src_D_logk_with_pH_over_TK,kept_for_model
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.073683553896894,2,0.007774910801316571,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,"(2S,5R,6R)-6-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,,,1,0,0,0,True
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.178976947293169,1,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],Dodecyl Dimethyl Benzyl ammonium Chloride,,,,1,0,0,0,True
CC(=O)c1ccc(C(=O)[O-])cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.301029995663981,1,0.0,CC(=O)c1ccc(C(=O)[O-])cc1,4-Acetylbenzoate,,,,1,0,0,0,True
O=C(O)CCc1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.204119982655925,1,0.0,O=C(O)CCc1ccccc1,3-Phenylpropanoic acid,,,,1,0,0,0,True
O=C([O-])CC(=O)[O-],,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.740362689494244,1,0.0,O=C([O-])CC(=O)[O-],Propanedioate,,,,1,0,0,0,True
NC(=O)c1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.278753600952829,1,0.0,NC(=O)c1ccccc1,Benzamide,,,,1,0,0,0,True
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.301029995663981,1,0.0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,,,1,0,0,0,True
FC(F)(F)c1ccccc1Cl,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.0,1,0.0,FC(F)(F)c1ccccc1Cl,1-Chloro-2-(trifluoromethyl)benzene,,,,1,0,0,0,True
CC(=O)OCC(C)C,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.491361693834273,1,0.0,CC(=O)OCC(C)C,2-Methylpropyl acetate,,,,1,0,0,0,True
CC1=CCC2CC1C2(C)C,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.332438459915606,1,0.0,CC1=CCC2CC1C2(C)C,alpha-Pinene,,,,1,0,0,0,True
